ID,latitude,longitude
0,-22.692173478526943,-45.55976709610037
1,-23.434914003646746,-46.63885687578817
2,-23.59337923175244,-46.44464656187834
3,-22.479552659674486,-45.678542686801954
4,-23.81107601744771,-46.64509006143119
5,-22.462792709859876,-45.692706226148985
6,-23.273756948002386,-47.08864268147324
7,-23.225111133042926,-47.0004999558117
8,-22.301969989694772,-45.68870211319053
9,-23.498232526671963,-46.438352756739434
10,-22.50277515141881,-45.662849379861775
11,-23.561757130986596,-46.61190916978412
12,-22.459990377476693,-45.78750209655409
13,-22.312897115353998,-45.62173375292061
14,-23.731705653132487,-46.737461120788716
15,-23.16963187425291,-46.959349341486025
16,-22.36250223632931,-45.77729978719424
17,-22.43617277917926,-45.737192083287724
18,-23.472434932674858,-46.5260883785215
19,-22.637222321549956,-45.60433967789089
20,-23.341211896491213,-46.978161186453626
21,-23.118654569390266,-46.82721228642693
22,-22.38261520641747,-45.623024322302946
23,-22.51990776792763,-45.70618957134838
24,-23.285623438276474,-47.08255941887754
25,-23.525818054478822,-46.94188700174871
26,-22.295258609735637,-45.60316189527457
27,-23.16307008066599,-46.8927317592859
28,-22.35713704439696,-45.65472329947472
29,-23.71169575315811,-46.563199397701275
30,-23.534073746885692,-46.80778168307145
31,-22.73456923616899,-45.620550722426486
32,-23.465485071706176,-46.363395666323065
33,-23.55784545739453,-46.452028853618344
34,-22.731769913614958,-45.716912139822945
35,-23.267458534637676,-46.844351397043845
36,-23.27187022339736,-47.00075821941565
37,-23.403581548447278,-46.69490152454254
38,-23.06032545686456,-47.10590798009049
39,-23.715078885351,-46.55703321098398
40,-22.661533738394034,-45.60241585188438
41,-23.523935109357414,-46.602524162444034
42,-22.42862565537544,-45.839720569997894
43,-22.499623630458792,-45.59783565504008
44,-22.429367625358985,-45.69401253219739
45,-23.451970158855477,-46.790486270144974
46,-22.399015765236072,-45.62760997302726
47,-23.192959615318593,-46.94043372416494
48,-23.43812224523079,-46.56061939787552
49,-23.637162590163122,-46.579808437146525
50,-23.241872360673103,-46.89714934934486
51,-23.23488753381571,-46.99368072404088
52,-22.26443431136496,-45.59020500312433
53,-22.58337685640235,-45.603146371635795
54,-23.65295028738243,-46.4702826948164
55,-23.542594605908285,-46.571397052060796
56,-23.452807097807007,-46.40996792946533
57,-22.44344198706905,-45.63994177380764
58,-23.086210460676913,-46.96341249407606
59,-22.34720251181757,-45.75009319535315
60,-22.263167126475143,-45.826155612246396
61,-23.309392941666424,-47.02013418244222
62,-23.89414174675365,-46.47956901228531
63,-23.2077327743982,-47.15535733596781
64,-22.558364552278203,-45.658596685659
65,-22.465860112801945,-45.69130761961817
66,-22.55512656181304,-45.67128843895083
67,-23.194586555480566,-46.74056516627605
68,-23.059936651789744,-46.75152695436207
69,-23.440043075766102,-46.990795219293005
70,-23.211766179726006,-47.143622965858484
71,-23.541250833178715,-46.51967154888502
72,-22.403795449507328,-45.57883939712636
73,-22.717540495963686,-45.488563485363805
74,-23.528985578140464,-46.500805980726376
75,-22.461118696384474,-45.76910875814063
