datetime,count
2011-01-20 00:00:00,12.588
2011-01-20 01:00:00,4.904
2011-01-20 02:00:00,3.766
2011-01-20 03:00:00,3.216
2011-01-20 04:00:00,2.72
2011-01-20 05:00:00,4.896
2011-01-20 06:00:00,36.252
2011-01-20 07:00:00,98.654
2011-01-20 08:00:00,214.534
2011-01-20 09:00:00,117.216
2011-01-20 10:00:00,58.642
2011-01-20 11:00:00,60.888
2011-01-20 12:00:00,79.292
2011-01-20 13:00:00,71.674
2011-01-20 14:00:00,75.602
2011-01-20 15:00:00,84.426
2011-01-20 16:00:00,91.196
2011-01-20 17:00:00,186.228
2011-01-20 18:00:00,172.126
2011-01-20 19:00:00,98.26
2011-01-20 20:00:00,73.38
2011-01-20 21:00:00,46.28
2011-01-20 22:00:00,43.596
2011-01-20 23:00:00,22.258
2011-01-21 00:00:00,16.978
2011-01-21 01:00:00,6.11
2011-01-21 02:00:00,5.186
2011-01-21 03:00:00,2.88
2011-01-21 04:00:00,2.008
2011-01-21 05:00:00,3.97
2011-01-21 06:00:00,34.372
2011-01-21 07:00:00,97.36
2011-01-21 08:00:00,187.344
2011-01-21 09:00:00,124.132
2011-01-21 10:00:00,51.512
2011-01-21 11:00:00,60.206
2011-01-21 12:00:00,68.008
2011-01-21 13:00:00,67.128
2011-01-21 14:00:00,65.322
2011-01-21 15:00:00,62.322
2011-01-21 16:00:00,76.338
2011-01-21 17:00:00,141.92
2011-01-21 18:00:00,139.076
2011-01-21 19:00:00,99.998
2011-01-21 20:00:00,63.156
2011-01-21 21:00:00,40.356
2011-01-21 22:00:00,32.424
2011-01-21 23:00:00,19.51
2011-01-22 00:00:00,28.58
2011-01-22 01:00:00,16.128
2011-01-22 02:00:00,13.17
2011-01-22 03:00:00,8.112
2011-01-22 04:00:00,3.204
2011-01-22 06:00:00,5.766
2011-01-22 07:00:00,17.084
2011-01-22 08:00:00,27.486
2011-01-22 09:00:00,32.156
2011-01-22 10:00:00,54.672
2011-01-22 11:00:00,58.066
2011-01-22 12:00:00,66.516
2011-01-22 13:00:00,78.49
2011-01-22 14:00:00,72.736
2011-01-22 15:00:00,73.83
2011-01-22 16:00:00,74.99
2011-01-22 17:00:00,82.862
2011-01-22 18:00:00,62.34
2011-01-22 19:00:00,42.21
2011-01-22 20:00:00,42.88
2011-01-22 21:00:00,38.864
2011-01-22 22:00:00,30.566
2011-01-22 23:00:00,15.364
2011-01-23 00:00:00,30.454
2011-01-23 01:00:00,17.362
2011-01-23 02:00:00,13.632
2011-01-23 03:00:00,12.482
2011-01-23 05:00:00,3.362
2011-01-23 06:00:00,2.25
2011-01-23 07:00:00,11.52
2011-01-23 08:00:00,18.814
2011-01-23 09:00:00,24.522
2011-01-23 10:00:00,53.756
2011-01-23 11:00:00,61.974
2011-01-23 12:00:00,65.632
2011-01-23 13:00:00,63.652
2011-01-23 14:00:00,70.324
2011-01-23 15:00:00,69.978
2011-01-23 16:00:00,74.1
2011-01-23 17:00:00,70.196
2011-01-23 18:00:00,70.166
2011-01-23 19:00:00,46.438
2011-01-23 20:00:00,33.636
2011-01-23 21:00:00,28.498
2011-01-23 22:00:00,18.708
2011-01-23 23:00:00,14.226
2011-01-24 00:00:00,10.164
2011-01-24 01:00:00,4.326
2011-01-24 03:00:00,2.544
2011-01-24 04:00:00,2.632
2011-01-24 05:00:00,5.048
2011-01-24 06:00:00,24.582
2011-01-24 07:00:00,81.542
2011-01-24 08:00:00,158.766
2011-01-24 09:00:00,111.082
2011-01-24 10:00:00,48.636
2011-01-24 11:00:00,40.834
2011-01-24 12:00:00,50.224
2011-01-24 13:00:00,48.656
2011-01-24 14:00:00,45.754
2011-01-24 15:00:00,55.666
2011-01-24 16:00:00,69.804
2011-01-24 17:00:00,137.428
2011-01-24 18:00:00,134.46
2011-01-24 19:00:00,93.838
2011-01-24 20:00:00,64.674
2011-01-24 21:00:00,43.496
2011-01-24 22:00:00,26.602
2011-01-24 23:00:00,18.29
2011-01-25 00:00:00,9.136
2011-01-25 01:00:00,3.47
2011-01-25 02:00:00,2.086
2011-01-25 04:00:00,2.002
2011-01-25 05:00:00,4.006
2011-01-25 06:00:00,32.966
2011-01-25 07:00:00,77.728
2011-01-25 08:00:00,150.884
2011-01-25 09:00:00,112.884
2011-01-25 10:00:00,58.43
2011-01-25 11:00:00,59.836
2011-01-25 12:00:00,69.552
2011-01-25 13:00:00,71.83
2011-01-25 14:00:00,72.47
2011-01-25 15:00:00,76.344
2011-01-25 16:00:00,94.318
2011-01-25 17:00:00,196.484
2011-01-25 18:00:00,185.818
2011-01-25 19:00:00,111.834
2011-01-25 20:00:00,76.956
2011-01-25 21:00:00,46.446
2011-01-25 22:00:00,38.592
2011-01-25 23:00:00,16.578
2011-01-26 00:00:00,9.332
2011-01-26 01:00:00,4.578
2011-01-26 02:00:00,3.276
2011-01-26 05:00:00,3.196
2011-01-26 06:00:00,24.736
2011-01-26 07:00:00,68.36
2011-01-26 08:00:00,140.952
2011-01-26 09:00:00,78.358
2011-01-26 10:00:00,47.516
2011-01-26 11:00:00,44.532
